Solution trouvée avec un coût total de : 80.0
Temps d'exécution : 18.05 secondes
Station -> Fréquence Émettrice / Fréquence Réceptrice
Station 0 -> 322 / 644
Station 339 -> 392 / 70
Station 340 -> 518 / 196
Station 341 -> 140 / 462
Station 342 -> 644 / 322
Station 343 -> 196 / 518
Station 344 -> 70 / 392
Station 345 -> 644 / 322
Station 346 -> 518 / 196
Station 347 -> 518 / 196
Station 348 -> 322 / 644
Station 349 -> 322 / 644
Station 350 -> 196 / 518
Station 351 -> 322 / 644
Station 352 -> 644 / 322
Station 353 -> 70 / 392
Station 354 -> 644 / 322
Station 355 -> 392 / 70
Station 356 -> 392 / 70
Station 357 -> 518 / 196
Station 358 -> 322 / 644
Station 359 -> 588 / 266
Station 360 -> 518 / 196
Station 361 -> 518 / 196
Station 362 -> 518 / 196
Station 363 -> 518 / 196
Station 364 -> 644 / 322
Station 365 -> 70 / 392
Station 366 -> 518 / 196
Station 367 -> 322 / 644
Station 368 -> 518 / 196
Station 369 -> 644 / 322
Station 370 -> 518 / 196
Station 371 -> 644 / 322
Station 372 -> 644 / 322
Station 373 -> 392 / 70
Station 374 -> 140 / 462
Station 375 -> 322 / 644
Station 376 -> 644 / 322
Station 377 -> 322 / 644
Station 378 -> 322 / 644
Station 379 -> 392 / 70
Station 380 -> 518 / 196
Station 381 -> 644 / 322
Station 382 -> 196 / 518
Station 383 -> 518 / 196
Station 384 -> 196 / 518
Station 385 -> 266 / 588
Station 386 -> 196 / 518
Station 387 -> 196 / 518
Station 388 -> 518 / 196
Station 389 -> 644 / 322
Station 390 -> 518 / 196
Station 391 -> 392 / 70
Station 392 -> 322 / 644
Station 393 -> 196 / 518
Station 394 -> 196 / 518
Station 395 -> 462 / 140
Station 396 -> 644 / 322
Station 397 -> 644 / 322
Station 398 -> 322 / 644
Station 399 -> 644 / 322
Station 400 -> 196 / 518
Station 401 -> 644 / 322
Station 402 -> 70 / 392
Station 403 -> 518 / 196
Station 404 -> 70 / 392
Station 405 -> 644 / 322
Station 406 -> 392 / 70
Station 407 -> 70 / 392
Station 408 -> 70 / 392
Station 409 -> 588 / 266
Station 410 -> 70 / 392
Station 411 -> 322 / 644
Station 412 -> 518 / 196
Station 413 -> 392 / 70
Station 414 -> 266 / 588
Station 415 -> 644 / 322
Station 416 -> 518 / 196
Station 417 -> 196 / 518
Station 418 -> 322 / 644
Station 419 -> 644 / 322
Station 420 -> 644 / 322
Station 421 -> 196 / 518
Station 422 -> 518 / 196
Station 423 -> 462 / 140
Station 424 -> 392 / 70
Station 425 -> 322 / 644
Station 426 -> 644 / 322
Station 427 -> 518 / 196
Station 428 -> 196 / 518
Station 429 -> 518 / 196
Station 430 -> 644 / 322
Station 431 -> 392 / 70
Station 432 -> 322 / 644
Station 433 -> 322 / 644
Station 434 -> 322 / 644
Station 435 -> 644 / 322
Station 436 -> 644 / 322
Station 437 -> 392 / 70
Station 438 -> 392 / 70
Station 439 -> 644 / 322
Station 440 -> 196 / 518
Station 441 -> 322 / 644
Station 442 -> 322 / 644
Station 443 -> 518 / 196
Station 444 -> 644 / 322
Station 445 -> 588 / 266
Station 446 -> 644 / 322
Station 447 -> 266 / 588
Station 448 -> 322 / 644
Station 449 -> 392 / 714
Station 450 -> 644 / 322
Station 451 -> 322 / 644
Station 452 -> 644 / 322
Station 453 -> 392 / 70
Station 454 -> 196 / 518
Station 455 -> 644 / 322
Station 456 -> 84 / 406
Station 457 -> 392 / 70
Station 458 -> 644 / 322
Station 459 -> 644 / 322
Station 460 -> 70 / 392
Station 461 -> 322 / 644
Station 462 -> 518 / 196
Station 463 -> 644 / 322
Station 464 -> 70 / 392
Station 465 -> 196 / 518
Station 466 -> 644 / 322
Station 467 -> 392 / 70
Station 468 -> 196 / 518
Station 469 -> 322 / 644
Station 470 -> 392 / 70
Station 471 -> 70 / 392
Station 472 -> 322 / 644
Station 473 -> 266 / 588
Station 474 -> 322 / 644
Station 475 -> 196 / 518
Station 476 -> 322 / 644
Station 477 -> 350 / 672
Station 478 -> 518 / 196
Station 479 -> 518 / 196
Station 480 -> 196 / 518
Station 481 -> 322 / 644
Station 482 -> 518 / 196
Station 483 -> 644 / 322
Station 484 -> 518 / 196
Station 485 -> 70 / 392
Station 486 -> 518 / 196
Station 487 -> 644 / 322
Station 488 -> 392 / 70
Station 489 -> 518 / 196
Station 490 -> 266 / 588
Station 491 -> 266 / 588
Station 492 -> 644 / 322
Station 493 -> 518 / 196
Station 494 -> 518 / 196
Station 495 -> 644 / 322
Station 496 -> 392 / 70
Station 497 -> 266 / 588
Station 498 -> 644 / 322
Station 499 -> 644 / 322
